file: 上.mp3
***********************************result**************************************
[0:53.000,0:55.180]  好，那个同学们下午好。
[26:29.040,26:32.800]  那么它实际上存的这个方式啊我们。
[26:32.800,26:36.560]  对于我们也做过一些这方面的编程啊，做过。
[26:36.560,26:44.020]  应该这块会理解的稍微深一点啊，他是拿这个行啊，其实就行见。
[26:44.020,26:48.040]  相当于他是拿航舰把这些数据拍起来的。
[26:48.040,26:53.460]  当然他数据，因为还有各种各种种类啊，所以呢，它又搞了一个列族。
[26:53.460,26:55.720]  这样的方式啊就是。
[26:55.720,27:2.180]  拿行建来排序，但是拿猎逐来划分这个大的这个数据块。
[27:2.180,27:6.060]  嗯，裂组里面的还有这个，还有列啊这个。
[27:6.380,27:8.580]  用这个列组里面的列。
[27:8.580,27:9.380]  Life。
[27:9.580,27:13.960]  区别就是每个就数据这样的这个多样性啊。
[27:13.960,27:16.200]  那么它在整个的这个。
[27:16.660,27:17.780]  嗯。
[27:17.780,27:28.320]  呃就是为了分布式啊，为了这个包括速度啊，就是在这方面的管理，他还做了一个特性，就是其实它数据是不能。
[27:28.320,27:29.880]  不能去改的啊。
[27:29.880,27:34.640]  他不能改，但是他怎么支持这个数据的变化，就是用这个时间戳。
[27:34.640,27:35.960]  相当于。
[27:35.960,27:40.040]  用时间拖，而且他给每个数据之上都带上时间拖。
[27:40.040,27:43.720]  修改数据就变成了你家一个新的时间，错。
[27:43.720,27:55.200]  上来当然我们甚至是成了，我们有时候直接拿时间搓来用啊，你这个数据有很多的值，我都想用，我就拿时间搓，把它分开，也可以传承多个数据。
[27:55.200,27:59.740]  多少分，我们好像有的，十堰里就有点类似这样的。
[27:59.740,28:0.820]  这样的做法。
[28:0.820,28:2.160]  这也是可以的啊。
[28:2.160,28:4.760]  当然最后我确定这么一个。
[28:4.760,28:8.060]  他这个feel单元的方式就是要。
[28:8.060,28:9.280]  行，建。
[28:9.280,28:10.440]  猎足。
[28:10.540,28:12.440]  呃，列。
[28:12.440,28:15.060]  在家时间搓，这个时候我可以确定。
[28:15.060,28:16.000]  一个。
[28:16.160,28:17.500]  具体的一个值。
[28:17.700,28:23.100]  这是在，但是这个其实还是就比较简单，就是这么一个数据收银过程。
[28:23.100,28:27.300]  但是他在整个支持大数据的这个情况下，因为。
[28:27.300,28:34.560]  这个所谓的大数据，我就是这个里面有非常多的行，但他也分另外一个大的地方啊，我也可以这个烈非常差啊。
[28:34.560,28:36.660]  这个是对他来说。
[28:36.660,28:41.500]  嗯，也是坐着，他为啥有猎足啊和这样的方法，这是列。
[28:41.500,28:44.860]  这是另外一种考虑啊，我这个列可以非常的长。
[28:44.860,28:49.900]  而且我的列的行李里面存的内容的格式，其实。
[28:49.900,28:53.220]  就相对比较自如，这是他另一个方面的考虑。
[28:53.220,28:56.100]  而对于航非常多的这一部分。
[28:56.680,28:58.840]  他就是用risen来管的啊。
[28:58.840,29:1.080]  Region实际上就是把行。
[29:1.080,29:6.580]  分段啊，就是这样的话，就分成分成一块一块的，那么一个raging，一个ready。
[29:6.580,29:13.600]  那么这些raging就把它分不起来，这个raging分不出来，和那个block分不出来，分不开来的。
[29:13.600,29:16.020]  这个方式和这个其实。
[29:16.020,29:17.200]  就是很像啊。
[29:17.200,29:23.240]  当然它里面又因为它这个里面就是索引的block的那个。
[29:23.380,29:25.700]  的这个分布方式的话。
[29:25.800,29:33.940]  它的缺点就是我的一个一个大block，所以对用户来说，实际上它基本上你看不到的，它因为它纯的时候。
[29:33.960,29:35.180]  这个。
[29:35.740,29:42.780]  嗯，我只知道传到这个文件里了，那么我到这个文件里面要去找他实际上。
[29:42.780,29:45.520]  你你图文见你是没没法这么做的。
[29:45.520,29:47.540]  你要文件里面去找一个东西。
[29:47.540,29:51.120]  你只能对用户来说，你只能把这个文件。
[29:51.120,29:52.760]  读出来就顺着看吧。
[29:52.760,29:55.560]  看看啊，我找到了这个文件里的这个东西。
[29:55.560,30:4.900]  这个就是纯文件，但是纯这个就不一样了，纯这个呃，H base存到数据库里就不一样了，我要找哪条记录。
[30:4.940,30:7.380]  这是可以的，这样的话。
[30:7.560,30:9.560]  当然，所以它的region。
[30:9.560,30:23.200]  和block也是有差别的，它reading是按照航航建来划分的啊，当然这个raging行建怎么画啊，就是说还有一些有些方法，但是还要考虑到他的这个存储的分布的均匀性。
[30:23.200,30:30.760]  访问的这个这个均线这些都有一些的方法，但是他是要reading和航间之间。
[30:30.980,30:32.280]  还有一套。
[30:32.280,30:42.260]  一套这个对应关系，那实际上就是一个这个分配表儿，这个分配表他又有一套机制，因为因为这个分配后呢，他发现一级索引是不够的啊。
[30:42.260,30:45.020]  就是因为这个。
[30:45.020,30:50.040]  呃，他纯这个raging荷航舰对应的话。
[30:50.040,30:55.580]  就这个关系，如果对于非常大量的一个数据的话，它是不行的，所以他又有两层的这个。
[30:55.680,30:56.600]  就是。
[30:56.600,31:0.020]  这个对应关系啊，那么就。
[31:0.020,31:5.000]  可以来实现非常大量的这种这种存储。
[31:5.140,31:7.960]  那么他的构架上面啊就是。
[31:7.960,31:16.580]  使你看master slave之就是must主服务器和这个region服务器啊，这是它的核心的这个框架啊。
[31:16.580,31:23.200]  当然它还涉及到一些什么，猪keep啦，这些的话，我们可以在后面还会还会提到这个事情。
[31:23.200,31:24.900]  那核心来说啊。
[31:24.900,31:26.660]  就是h base。
[31:26.820,31:31.340]  从hadoop的这种分布式的框架基础上。
[31:31.340,31:32.960]  把这个。
[31:32.960,31:41.180]  文件相当于就是把这个数据库，相当于就是能索引的，这样的数据啊，去存储起来。
[31:41.180,31:43.400]  其实提供了这样的一套机制啊。
[31:43.440,31:45.520]  这是这个。
[31:45.720,31:49.520]  而且被子啊这个做到的事情。
[31:50.520,31:53.660]  啊那么到回来就是。
[31:53.660,31:55.080]  相当于补了一次。
[31:55.080,31:59.700]  一些就是在从一定从理论上啊，来看一下这个。
[31:59.700,32:4.320]  前面这个做的过程就讲这个no c口啊，那么OC口是啥意思。
[32:5.740,32:9.600]  是notes equal还是note only c口啊这个人。
[32:9.600,32:13.760]  也说过这有一个人们发展认识的，这样的一个过程啊。
[32:14.360,32:21.000]  嗯，那么，当然现在我们认识no c就是note only c口啊，就是。
[32:21.000,32:22.200]  不能只只。
[32:22.200,32:24.380]  仅仅是C口语言啊。
[32:24.380,32:25.340]  当然。
[32:25.380,32:33.060]  当然这里包括你对C口语言可能也得有还是有什么，它是一个关系话查询的这么语言啊，那么。
[32:33.060,32:36.580]  它是由她的这个数学基础的，然后。
[32:36.580,32:46.340]  它可以保证你各种各样的关系啊，各种的方式都能都能被查询到，那么有这样的语言，他为什么能发展出有这样的语言确实应用。
[32:46.340,32:51.560]  就会很很方便啊，我们后面会看到，虽然讲apt但是。
[32:51.780,32:57.300]  很多的系统，它到最后还是想法提供出这个C口接口来啊。
[32:57.620,33:2.300]  但是在这里还是先得看这个no c CA本身的这个。
[33:2.300,33:3.460]  发展的。
[33:3.480,33:4.980]  程度那么。
[33:5.100,33:8.240]  他相当于他先解决。
[33:8.240,33:13.920]  我把这个查询接口简化下来的情况下，我先解决这个大数据的问题。
[33:13.920,33:15.880]  而且一定程度上他还。
[33:15.880,33:19.580]  有理论基础的，所以它的理论基础就是这个。
[33:19.640,33:21.500]  什么cup理论啊？
[33:21.520,33:23.940]  太不理论的话就是。
[33:23.940,33:25.020]  嗯。
[33:25.420,33:26.660]  嗯，就是。
[33:26.660,33:29.680]  就是可用性啊这个。
[33:29.680,33:34.160]  呃一致性，分布性啊，就这三个东西是不可。
[33:34.160,33:40.760]  同时兼得的啊，这还是一个很重要的基础，它其实我们还举过一个例子啊为什么。
[33:40.760,33:43.080]  这三者不可监督啊，因为。
[33:43.080,33:46.300]  就是这里说的这个分布性，就是知识大数据。
[33:46.300,33:52.220]  的话，那么你的东西就是要分成很多区的，因为我们看到这个大数据。
[33:52.220,33:54.840]  核心的这个知识方法就是靠这个。
[33:54.840,34:0.020]  塔提审啊，就是把它分成很多的区块来弄的啊，那么。
[34:0.020,34:1.780]  嗯，这个。
[34:1.780,34:7.700]  但是可用性呢，就是说始终这些数据都是都是可用的啊，你的系统。
[34:7.700,34:8.540]  嗯。
[34:8.560,34:9.460]  的。
[34:9.460,34:12.200]  整个系统始终都可以提供。
[34:12.200,34:14.580]  这个可靠的服务。
[34:14.580,34:17.180]  呃，可用的这种结果啊。
[34:17.180,34:18.480]  那么。
[34:19.020,34:20.140]  这个。
[34:20.140,34:23.460]  嗯，一致性呢，还是就是说他们。
[34:23.460,34:26.280]  你在这不同的地方访问出来的东西。
[34:26.280,34:28.340]  不能不一样啊，就是。
[34:28.360,34:37.840]  大概就是这几种的东西放在一起，所以就有各种组合啊，C组合，CP组合啊，什么APP组合。
[34:37.840,34:40.280]  就是倾向于这些的时候。
[34:40.280,34:42.660]  那么是哪一种技术因为？
[34:42.660,34:47.000]  那个理论那个证明其实并不是很复杂啊，就讲了这么一个场景，就是说。
[34:47.000,34:49.440]  你你就是不可做到的，所以。
[34:49.440,34:54.560]  嗯，你做到这些的时候，你都得容忍一些就是其他的这个缺陷。
[34:54.560,34:59.820]  那么各种你像呃C可能就是传统的这个数据库。
[34:59.820,35:2.760]  更多的就是这个这个C的啊。
[35:2.760,35:4.500]  那么这个。
[35:4.500,35:9.580]  呃，带P的就是这个大数据，弄得这些就是就很多是带P的啊。
[35:9.580,35:10.460]  那么。
[35:10.460,35:13.400]  而且他会考虑这个IP的。
[35:13.400,35:16.140]  又一波考虑，CP的又是一波。
[35:16.180,35:21.600]  那么这是他的一个理论，那么还有一步一个理论，就是这个代词啊这个。
[35:21.600,35:25.020]  什么基本可用，最终一致一致性啊。
[35:25.020,35:30.820]  就是就这几个理论的，他对的是大概是什么。
[35:30.820,35:34.100]  什么意思啊，那么你要理解啊。
[35:34.940,35:42.860]  嗯，在这张里面还讲到了一个这个文档数据库啊，文档数据库，实际上它它里面存的那个结构啊，就是这个哒。
[35:42.860,35:45.820]  Document的啊，就是一相当于把一篇。
[35:45.820,35:51.560]  这个n n documents的，这样的结构来存这个数据库啊它。
[35:51.560,35:54.980]  也是这个囊C口中的一种啊那。
[35:57.020,36:0.320]  这个是no c口啊。
[36:0.580,36:5.060]  那么还有就是第六章就是这个。
[36:5.140,36:8.480]  嗯，云数据库啊那个。
[36:13.140,36:14.400]  云数据库。
[36:15.860,36:20.680]  嗯，实际上这里就是他介绍了很多，就是这个。
[36:20.720,36:22.420]  云的这个。
[36:22.420,36:23.840]  云的概念啊。
[36:23.840,36:25.080]  那么。
[36:25.080,36:29.700]  在云数据库的这个这个上面啊，把这个云的。
[36:29.700,36:33.320]  概念来来提出来这个介绍了，那么。
[36:33.320,36:41.980]  呃包括云上面的这个各种玩家啊，那么云能，能带来的这种这种好处啊。
[36:41.980,36:43.140]  那么。
[36:43.140,36:51.060]  嗯，当然，实际上这个云上面提供的先是这个计算平台啊，就是我们所看到的这个这个数据节点。
[36:51.060,36:53.380]  那么在这个计算平台上。
[36:53.380,36:54.520]  嗯，这。
[36:55.140,36:56.180]  就是。
[36:56.180,37:3.440]  其实就是一个最盛，就是一个计算资源了啊，他你你可以拿到这个cpu拿到。
[37:3.440,37:5.100]  拿到内存，拿到存储。
[37:5.100,37:8.000]  这是一个个的这个节点，但是。
[37:8.000,37:9.340]  云的提供。
[37:9.500,37:12.780]  台湾忘叫，而且提供这些节点的。
[37:13.680,37:18.200]  相当于他这个服务啊，提供的就少一些嘛，竞争也很激烈，这一部分。
[37:18.200,37:24.220]  现在就非常便宜，完了，大家都在努力在上面去增加多的多的东西啊。
[37:24.220,37:32.600]  那么上再往上一层就是计算节点啊，那么这里它其实又给了你一个计算框架啊，就比如给了你这个map reduce。
[37:32.600,37:34.780]  那么或者给了你可能。
[37:34.780,37:39.500]  Spot了，或者给了你一个应用服务器啊，就是这些。
[37:39.500,37:43.780]  是另一层，那么在网上的一层又搞了那个。
[37:44.080,37:46.460]  就数据库啊，我能计算了。
[37:46.460,37:49.440]  嗯，我当然还要有这个数据，当然。
[37:49.440,37:55.280]  提供基本的节点里面嗯，啊对，包括如果我提供一个分布式的存储啊。
[37:55.280,37:57.660]  那么也是只也是。
[37:57.660,38:9.380]  就是数据存储也是可以在云上来提供，而现在大家的做法就是而且在网上，就是在这个云这里面有有整个的什么三层这个服务啊，就是这个什么。
[38:9.380,38:12.980]  R r is啊，这个。
[38:12.980,38:15.680]  啊，就是。
[38:15.840,38:19.940]  就是这个音，就是相当于这个。
[38:19.940,38:20.900]  嗯。
[38:21.040,38:27.300]  Instruction啊呃service那个完了平台service还有这个服务。
[38:27.300,38:29.360]  S啊，就是。
[38:29.480,38:31.080]  或是英文service。
[38:31.080,38:38.940]  那么通过不同层面的这个提供，那么大家都可以在上面来共享这个平台。
[38:38.940,38:40.680]  而且这个云平台。
[38:40.680,38:42.040]  或者云。
[38:42.040,38:44.580]  他从这个应用上是。
[38:44.580,38:47.920]  有一个，另外这个很重要的一点就是。
[38:47.920,38:50.700]  就相当于是把资源的利用率能提上去。
[38:50.700,38:53.400]  这样的这个这个的前提的雨。
[38:53.400,38:57.000]  的原因就是实际上各种应用啊。
[38:57.000,39:6.300]  相当多的这种这种应用它是不饱满的啊，这这其实这也是跟那个，就像如果跟交通类笔试的还是有一波路。
[39:6.300,39:7.320]  他是。
[39:7.960,39:16.020]  嗯，就是即使很拥堵的城市，它也有一些道路是没人走的，这是或者走的人相对少的，当然。
[39:16.020,39:17.720]  这是因为人们。
[39:17.720,39:20.600]  这个不知道，或者是。
[39:20.600,39:22.640]  就是反正各种原因吧这个。
[39:22.640,39:30.220]  数他，他就是这样的一个分布规律，而云使得大家把这些空闲的资源可以。
[39:30.220,39:33.040]  互相的调度共用起来，那么。
[39:33.040,39:40.060]  那么这样的话，整个的这个硬件利用率啊，整个的成本还是可以可以下来一节子啊。
[39:40.060,39:41.860]  这都是云。
[39:41.860,39:43.900]  所带来的好处，当然。
[39:43.900,39:49.060]  你是不是上云啊，那么你作为如果作为一个。
[39:49.060,39:50.420]  一个。
[39:50.460,39:54.880]  对，因为最后上不上云，实际上是一个一个经济问题啊。
[39:54.880,39:59.980]  那么是一个经营实体啊，需要需要决策的这样的一个问题。
[39:59.980,40:2.540]  你到底是自己搞还是在？
[40:2.540,40:5.700]  在云上啊，那么因为在云上的话。
[40:6.460,40:9.740]  会有一些还是有一些这个担忧的就是。
[40:9.740,40:10.820]  东西毕竟。
[40:10.840,40:13.580]  不归你管，你的依赖于这个云。
[40:13.580,40:15.960]  供应商，他确实能保证。
[40:15.960,40:17.120]  这些安全性。
[40:17.120,40:19.040]  但往往来说可能。
[40:19.040,40:22.540]  会比你自己保证并不并不差啊。
[40:22.540,40:27.060]  当然当然，云因为它有互相的干扰，他比你更难一点，但是。
[40:27.180,40:32.240]  比你自己建一套更难一点，但是它更专业啊，它有各种各样的工具。
[40:32.240,40:38.140]  所以这两者确实是一个权衡一般，当然大企业他实力很充足，就还会自己搞。
[40:38.140,40:40.940]  那么小黑现在可以。
[40:41.080,40:42.880]  可以选择上云啊。
[40:43.860,40:47.380]  这是关于这个。
[40:47.880,40:49.160]  云计算啊。
[40:50.380,41:6.020]  那么这些弄完了，他就进入到这个，啊就是比较核心的，因为我们讲分布式存储啊，这是一个这个大数据的这个这个基础部分，那么你把文件这些能光能这个存储起来。
[41:6.020,41:7.420]  肯定还是。
[41:7.420,41:9.400]  还是不行的啊，那么。
[41:9.400,41:12.320]  所以呢，就是要能去计算。
[41:12.320,41:15.540]  车能就是能分布式的去处理啊。
[41:15.540,41:22.860]  分布式的处理其实比分布式的存储可能更麻烦一点啊，因为存储上其实还是很。
[41:22.860,41:27.720]  一定说还好理解吗？我就是把它分成骗了，一片一片的。
[41:27.720,41:28.860]  那么分。
[41:28.860,41:31.060]  多少多少个那个。
[41:31.060,41:39.320]  呃，相同的骗我都可以，但是纯计算处理就不一样啦，因为这些数据你也不知道哪些和哪些有关系。
[41:39.320,41:44.840]  所以呢，这个计算的这个处理过程中，你就得把这些。
[41:44.840,41:48.560]  所有分片的，或者你所有的看到的这个大数据及。
[41:48.820,41:52.980]  之间的这些关系，你要能进行处理，能进行变换。
[41:52.980,41:55.700]  那么这样子的话。
[41:55.700,42:3.120]  就会就就带来的这个挑战还是非常大的啊，因为因为这里就还是说到过就是。
[42:3.120,42:6.880]  这个计算机我们现在用的这个计算架构啊。
[42:7.420,42:8.860]  那个什么。
[42:8.860,42:13.280]  汾什么诺，1万这样的架构核心到最终还是。
[42:13.280,42:20.480]  一个一个一个现行处理的架构，你要把你的数据和处理逻辑，在通过cpu。
[42:20.480,42:22.640]  在他的这个电路执行过程。
[42:22.640,42:23.720]  是这样。
[42:23.720,42:26.960]  这样子的，线性的这么一条过来的。
[42:26.960,42:32.660]  那么反正最终的话，你的这些处要处理这些数据，要进入到内存里面去。
[42:32.660,42:35.820]  那么进入到内存里面去的话。
[42:36.280,42:37.680]  那个。
[42:37.680,42:39.120]  嗯。
[42:39.120,42:44.960]  但是肯定是内存是放不下的啊，我们之前碰到的问题就是还是单机。
[42:44.960,42:53.160]  你单机的话，你你你你单机内存再大，我们家现在的企业用的也挺大的，像我们看到的那个。
[42:53.160,42:59.560]  都有几百兆的这个，呃几百个G的这个内存，就我们这个实验平台，我们这个实验平台是拿。
[42:59.560,43:1.680]  是拿一个比较大的这种。
[43:1.820,43:5.160]  这种所谓企业企业用的这种机器啊。
[43:5.160,43:8.440]  他还是有几百兆的内存，好像有。
[43:8.440,43:13.000]  有60多盒的这个30多还是60多核的cpu嗯。
[43:13.480,43:14.660]  但是。
[43:14.660,43:17.980]  比起这个大数据来说，这个内存。
[43:18.620,43:20.140]  肯定不够用的。
[43:20.140,43:26.320]  那么这个时候你要想处理他的时候，因为你不知道哪一部分数据和哪部分数据有关系。
[43:26.380,43:33.900]  你说我存储没问题，我就分辨存储了。当然有的时候存储因为也过cpu，你肯定要把它拍拍。
[43:33.900,43:39.820]  就是稍微变化一些，整理一些结构啊，但是没关系，我整理了一块，我就放一块儿放一块儿。
[43:39.820,43:42.140]  我放很多block是没有问题的。
[43:42.140,43:44.620]  但是处理的时候就不行了。
[43:44.620,43:51.740]  处理的时候，因为我整个啊一个P的数据，或者这么大量一个数据，你也不知道哪个跟哪个有关系。
[43:51.740,43:54.360]  我是可以在内存里面调。
[43:54.360,43:55.800]  只调进来一部分。
[43:56.080,43:58.740]  呃，然后轮着掉但是。
[43:58.740,44:0.120]  调进来。
[44:0.120,44:1.420]  把哪些？
[44:1.560,44:4.260]  留在内存里把哪些？
[44:4.280,44:9.640]  去那个就轮换出去啊，这个是很难选择的。
[44:9.640,44:11.320]  那么或者。
[44:11.320,44:15.420]  你没有一个好的框架就没法这么去做的啊。
[44:15.420,44:20.040]  那么所以就是这种这么大大数据量的这个处理以前。
[44:20.040,44:25.800]  是没有好办法的，所以只能去边特定的这个程序啊，特定的东西去弄啊。
[44:25.800,44:31.260]  而map reduce啊就是提供了这样的一个框架，它实际上也就是两次变换。
[44:31.260,44:33.280]  他的这两次变换。
[44:33.280,44:35.600]  就是或者是什么。
[44:35.820,44:37.940]  或者这三次变换。
[44:37.960,44:42.980]  他这三次变换，使得你这个所有数据量之间的关系啊。
[44:42.980,44:45.040]  啊，你可以这个交互。
[44:45.040,44:46.440]  呃进行一次。
[44:46.480,44:52.240]  所以对这个麦克，就是它核心的过程中，我们说过他这个核心是他的那个沙发。
[44:52.240,44:53.680]  就是他那个洗牌过程。
[44:53.680,44:55.560]  他的洗牌过程。
[44:55.560,44:59.160]  就是让所有的数据啊，有。
[44:59.440,45:6.200]  有就是有一定程度再相遇，这样我们像我们也看过例子啊就是。
[45:6.200,45:10.100]  他做这个word cons啊，他包括他可以做排序啊。
[45:10.100,45:15.920]  这个他都是说你看我先哪一哪一层，先按照这个关系。
[45:15.920,45:20.600]  因为有一种关系建立出来的时候，我就可以有这种关系的分段。
[45:20.600,45:22.800]  那么但是呢。
[45:22.800,45:26.620]  那种关系呢，它又有另外一种那种关系的分段。
[45:26.620,45:35.380]  那么你不能限制这样的分段能力，而map reduce他给你提供了一个啊，当然他就这两步，就是这两种关系。
[45:35.380,45:36.500]  交叉一下。
[45:36.500,45:37.660]  这样的一个机制。
[45:37.660,45:40.900]  这个和这个核心机制就是在他的这个沙发。
[45:40.900,45:50.960]  里面来实现的，我们做过的康德的做法也就是，啊我先，我因为先进行这个处理的时候，我在这里是按照你的这个。
[45:50.960,45:52.840]  这个词来。
[45:53.220,45:54.480]  反正来累。
[45:54.480,46:0.440]  不管就是或者是我按照你你各种文件里，其实都是乱的，各种词都是乱的，但是我。
[46:0.440,46:4.880]  每一小段每一小段的此来累，但是我在往下发的时候。
[46:4.880,46:10.580]  这我这些词就得按照我的reduce的那个分段来。
[46:10.580,46:15.800]  重新分好段啊，但是这个过程洗牌过程还是很复杂你的。
[46:15.800,46:19.620]  你如果两边啊，就是相当于是两。
[46:19.620,46:23.720]  整个集群都要交互一下的时候，你就是得有一个。
[46:23.720,46:24.640]  非常。
[46:24.780,46:32.880]  非常大的一个分段过程，对对词来，对词频统计来说，当然前面的话，我为什么要多个APP。
[46:33.260,46:42.520]  那么多个web是因为我可能是统计一个大文件啊，当然，当然这里你看它跟那个S是结合起来，我统计一个大文件。
[46:42.520,46:48.760]  我一个PB的文件，在HDFS里面，我自然的已经分成block了。
[46:48.940,46:53.540]  那么这个时候我就可以让这个迈普任务。
[46:53.540,46:56.640]  在每个block上并行的进展进行。
[46:56.760,47:1.640]  那并行的进行出来之后，我每个脉搏任务都得把它。
[47:1.640,47:2.820]  分出。
[47:3.320,47:9.400]  到我最后reduce reduce就不是按这个文件，这种天然分段来了，就得按照瓷瓶的。
[47:9.400,47:12.940]  比如词打头的，这个你看着60分多少。
[47:12.940,47:14.780]  我reduce如果。
[47:14.780,47:25.260]  呃，这个你当然量少，我们做的实验上可能reduce就一个两个，所以你分一个这个，哎到什么。
[47:25.580,47:28.480]  凯伦的N啊，完了什么o到S。
[47:28.480,47:34.840]  就分这两段就行了，但是如果量非常大的话，就是用你可以分很多，你就是AI打头的。
[47:34.840,47:38.820]  完了，什么AB打头的，这样的，你可能可以分几百个reduce。
[47:39.260,47:44.920]  那么当然你每一个迈普都得分出这几百个reduce，然后是这么一个大交叉过来。
[47:44.920,47:49.480]  但是这样的他就是给了你一个，大家互相相关的东西。
[47:49.480,47:52.000]  都能遇到的这么一个一个机制。
[47:52.300,48:0.080]  呃，有那这样的一个过程的话，那么你一个PPT的那或者是甚至CB的词频统计。
[48:0.080,48:2.140]  你都可以，而且你可以调动。
[48:2.140,48:4.320]  几百个这个。
[48:4.320,48:6.180]  Cpu啊几就是。
[48:6.180,48:14.060]  几百个节点啊，而且他这种做法是你这些节点上，你的一个卖，卖produce的一个进程在。
[48:14.060,48:18.080]  你在一个机器上，不在一个机器上，他都是他，都是可以处理的。
[48:18.120,48:20.820]  所以他就有了这样的一个框架。
[48:20.820,48:22.040]  使得。
[48:22.040,48:23.280]  我们可以。
[48:23.280,48:26.160]  对，非常大的这个数据量。
[48:26.160,48:27.480]  来进行处理啊。
[48:27.480,48:30.960]  那么当然他的用起来啊还。
[48:30.960,48:32.520]  我们边的那个。
[48:32.520,48:33.940]  程序我。
[48:33.960,48:37.780]  不是，就是你最核心的那一个单元处理和那个。
[48:37.860,48:45.340]  的东西，那个算法对你自己编的。其实你要对这个两个变换过程中的时之钥有清楚的理解。
[48:45.340,48:47.640]  你才能把它把它写出来。
[48:47.640,48:50.680]  就是但是mapreduce确实是使得。
[48:50.680,48:52.380]  我们可以。
[48:52.920,49:4.200]  不用一定存到，不用去关心，就真正那么多的数据调度啊，那么多的这个信息的这些传递的这个过程啊，只关心核心的这个变化逻辑。
[49:4.240,49:6.260]  就可以写出一个。
[49:6.260,49:8.100]  大数据的这个处理来。
[49:8.440,49:9.960]  这个是。
[49:10.320,49:12.780]  第一就是相当于是。
[49:12.800,49:16.140]  第一个这个大数据的这个处理框架。
[49:16.140,49:19.560]  当然，后面还会对他有他的这个发展啊。
[49:19.560,49:22.520]  那么因为它也有很多的这个问题啊。
[49:22.520,49:25.840]  但是他起码他先把这个大数据。
[49:26.140,49:29.960]  这么多的数据的这种变换过程啊。
[49:29.960,49:31.840]  陈，为了这个可能。
[49:32.420,49:33.960]  这是这个。
[49:34.220,49:35.340]  麦produce。
[49:35.840,49:38.840]  就是这个基础的，当然我们。
[49:38.840,49:41.160]  我们可以以word content的这个。
[49:41.160,49:48.460]  这个例子的特点啊，那么或者再理解一下这个例子，那么对这个卖pre丢失这个处理过程啊。
[49:48.460,49:52.080]  那有一定的这个理解啊，特别是这个沙法啊。
[49:52.080,49:53.840]  沙发在干什么啊？
[49:53.840,49:55.500]  那么是要？
[49:55.500,49:57.120]  是要搞清楚的啊。
[49:57.400,49:58.980]  这个。
[49:59.020,50:1.760]  这个搞清楚了，他其实几种。
[50:1.760,50:5.260]  几种粒子，他不同的计算，他那个sop。
[50:5.500,50:10.560]  虽然是有些差别啊，但是但是核心的还是说让所有的一些数据。
[50:10.560,50:12.240]  按照一定的规则。
[50:12.240,50:13.080]  他这么。
[50:13.180,50:15.300]  怎么拧一下啊就。
[50:15.300,50:18.500]  就都能相遇啊，然后就都能。
[50:18.500,50:21.080]  做出做出一定的这个。
[50:21.080,50:22.340]  这个变换处理。
[50:24.920,50:26.360]  嗯。
[50:26.800,50:30.180]  然后就是这个哈，杜普这个。
[50:30.520,50:34.760]  架构在探讨啊，当然这张里面也是。
[50:34.760,50:36.380]  呃。
[50:36.380,50:37.120]  就是。
[50:37.460,50:39.140]  怎么说呢，内容。
[50:39.500,50:40.820]  嗯。
[50:41.060,50:43.640]  相对的要这个。
[50:43.900,50:44.960]  嗯。
[50:45.780,50:53.780]  呃，就是因为你要对这个哈豆腐，原来这个基本的结构基本的晕晕状运行啊，有比较好的理解之后啊。
[50:53.780,50:57.240]  才可以看到，为什么要提升他啊。
[50:58.660,51:0.580]  我们课间休息啊。
[51:27.940,51:30.080]  不用不用不用不用，嗯。
[51:34.060,51:36.640]  嗯，嗯嗯，嗯。

************************************end****************************************

file: 下.mp3
***********************************result**************************************
[0:57.860,1:0.000]  我们来这个继续啊。
[1:0.140,1:5.560]  刚才放的是那个华为在松山湖的那个研发基地啊。
[1:6.400,1:7.580]  嗯。
[1:11.240,1:15.340]  哈吐啊，然后就是哈图的发展呢。
[1:16.140,1:24.240]  他在原来的架构上啊，有一些问题，这里说的架构是指的这个哈舒服1.0啊，它最初开始出来的时候他。
[1:24.240,1:27.440]  先解决这个有无的问题，那么。
[1:27.440,1:29.380]  所以他在这个。
[1:29.380,1:32.460]  呃，这个整个体系上其实。
[1:32.460,1:35.180]  有有各方面的问题吧，啊那么。
[1:35.180,1:36.140]  嗯。
[1:36.520,1:41.700]  在后面哈，都不2.0啊，当然他这也是有一个眼镜过程啊。
[1:41.700,1:45.600]  主要解决了他这几方面的，第一个就是这个a。
[1:45.600,1:48.480]  而且我们也讲过这个概念啊，就是。
[1:48.480,1:50.700]  就是哈微乐宝啊就是。
[1:50.700,1:52.800]  相当于是。
[1:52.800,1:53.600]  呃。
[1:53.600,1:56.900]  保证高可用性啊，就是其实。
[1:56.900,2:0.960]  呃，对在这里解决的话，就是说我的。
[2:0.960,2:3.240]  特别他那个master啊那个。
[2:3.240,2:5.860]  或者什么那个那个那那木。
[2:5.860,2:7.580]  嗯，Name node啊。
[2:7.580,2:9.880]  就是出了问题。
[2:10.240,2:13.320]  那么我还是可以继续。
[2:13.320,2:18.900]  工作的，他用的方法就是有点，我们要把它热双击啊，就是这样的。
[2:18.900,2:23.040]  就是在这个高可用里面啊，这个热双击应该是。
[2:23.040,2:25.020]  最这个比较。
[2:25.440,2:26.560]  嗯。
[2:26.560,2:28.320]  嗯，嗯。
